ID,height,height_inches,weight,pos
1628476,6-1,73,185,Guard
203933,6-8,80,215,Forward
204037,6-10,82,225,Forward
1627821,6-9,81,202,Forward
1627362,6-2,74,165,Guard
201566,6-3,75,200,Guard
2561,6-9,81,250,Forward
1628510,6-7,79,210,Forward
1628401,6-4,76,190,Guard
1627785,6-4,76,213,Guard
1627855,6-8,80,215,Forward
202355,7-0,84,265,Center
203952,6-8,80,202,Forward
203912,6-5,77,195,Guard
1626210,6-8,80,265,Forward-Center
203710,6-5,77,230,Forward-Guard
101150,6-1,73,175,Guard
101107,6-9,81,237,Forward
1627786,6-7,79,218,Forward
1628391,6-10,82,236,Forward
1626159,6-7,79,225,Forward
1626153,6-5,77,190,Guard
1627824,6-8,80,260,Forward
1626202,6-2,74,185,Guard
201156,6-7,79,210,Guard-Forward
201152,6-8,80,230,Forward
203469,7-0,84,240,Center-Forward
203092,7-0,84,250,Center
1627835,6-8,80,226,Forward
1627790,6-11,83,250,Forward-Center
1627826,7-1,85,240,Center
